206.623,133.647,165.087,168.435,118.691,169.643,172.217,93.2634,188.185,134.939,414.473,162.422,469.063,167.438,516.847,153.993
205.848,133.474,163.614,166.27,118.751,165.68,171.526,93.2734,187.732,134.489,415.116,162.295,469.242,167.216,517.865,149.679
205.032,133.22,162.27,164.149,118.852,161.797,170.797,93.2969,187.26,133.644,415.749,162.166,469.774,167.211,515.941,146.424
204.621,133.049,161.766,163.047,118.835,159.893,170.479,93.3183,187.077,133.188,416.287,162.084,470.368,167.205,515.743,143.153
203.784,132.649,160.575,160.854,118.796,156.004,169.733,93.3522,186.642,132.349,416.609,162.047,470.554,167.188,515.735,141.543
203.032,132.288,159.27,158.597,118.674,152.697,169.034,93.3825,186.073,131.636,417.18,161.994,470.688,167.101,515.025,138.031
202.322,132.023,158.063,156.31,118.893,150.134,168.322,93.4288,185.551,131.064,417.823,161.936,470.553,166.917,514.102,134.629
201.558,131.625,156.979,154.082,119.406,146.623,167.575,93.482,185.003,130.39,418.346,161.892,470.474,166.751,513.426,131.074
201.206,131.376,156.485,152.976,119.794,144.808,167.238,93.5074,184.809,130.048,419.002,161.794,470.543,166.618,512.745,127.724
200.398,130.944,155.643,150.686,119.988,141.054,166.463,93.6161,184.297,129.391,419.279,161.784,470.578,166.544,512.336,125.982
199.62,130.529,154.783,148.422,120.015,137.065,165.678,93.7498,183.842,128.705,419.953,161.678,470.736,166.479,511.358,122.776
198.842,130.038,154.084,146.205,119.964,133.317,164.912,93.8326,183.434,127.914,420.385,161.631,470.865,166.45,510.257,119.645
198.416,129.847,153.891,145.111,119.943,131.628,164.509,93.8604,183.164,127.473,420.937,161.548,470.997,166.415,508.998,116.777
197.657,129.369,153.378,142.969,119.119,127.843,163.694,93.9217,182.714,126.635,421.203,161.482,471.058,166.402,508.324,115.379
196.845,128.977,152.976,140.97,119.113,124.522,162.844,93.9675,182.224,125.763,421.795,161.368,471.299,166.391,506.974,112.87
196.052,128.685,152.657,139.211,120.295,121.927,161.981,93.9893,181.774,124.985,422.326,161.281,471.631,166.411,505.59,110.629
195.202,128.237,152.265,137.645,121.308,119.591,161.083,94.0059,181.212,124.14,423.011,161.183,471.929,166.424,504.408,108.589
194.83,128.138,152.124,136.93,121.845,118.62,160.613,94.0024,180.924,123.909,423.779,161.091,472.259,166.462,503.375,106.719
